_id,School Name,Enrolled population,DTP* coverage rate (%),DTP Religious exemption rate (%),MMR† coverage rate (%),MMR Religious exemption rate (%)
169,DON VALLEY JUNIOR HIGH SCHOOL ,367.0,94.0,0.8,95.6,0.8
170,DONVIEW MIDDLE HEALTH AND WELLNESS ACADEMY ,356.0,83.7,1.7,87.4,1.7
171,DONWOOD PARK JUNIOR PUBLIC SCHOOL ,375.0,95.5,1.9,95.2,1.9
172,DORSET PARK PUBLIC SCHOOL ,151.0,94.7,0.7,94.0,0.7
173,DOVERCOURT PUBLIC SCHOOL ,248.0,89.5,2.8,91.5,2.8
174,DOWNSVIEW PUBLIC SCHOOL ,95.0,90.5,2.1,91.6,2.1
175,DOWNSVIEW SECONDARY SCHOOL ,583.0,79.9,1.7,87.0,1.7
176,DOWNTOWN ALTERNATIVE SCHOOL ,52.0,92.3,7.7,90.4,7.7
177,DOWNTOWN VOCAL MUSIC ACADEMY OF TORONTO ,47.0,87.2,6.4,89.4,6.4
178,DR MARION HILLIARD SENIOR PUBLIC SCHOOL ,274.0,93.1,1.1,93.4,1.1
179,DR NORMAN BETHUNE COLLEGIATE INSTITUTE ,969.0,91.0,0.3,97.3,0.3
180,DREWRY SECONDARY SCHOOL ,69.0,85.5,1.4,91.3,1.4
181,DRIFTWOOD PUBLIC SCHOOL ,190.0,92.6,0.0,93.7,0.0
182,DUBLIN HEIGHTS ELEMENTARY AND MIDDLE SCHOOL ,563.0,84.2,3.0,86.9,3.0
183,DUKE OF CONNAUGHT JUNIOR AND SENIOR PUBLIC SCHOOL ,633.0,96.5,3.0,96.5,3.0
184,DUNDAS JUNIOR PUBLIC SCHOOL ,150.0,93.3,2.7,92.0,2.7
185,DUNLACE PUBLIC SCHOOL ,161.0,95.0,2.5,95.7,2.5
186,EARL BEATTY JUNIOR AND SENIOR PUBLIC SCHOOL ,212.0,91.0,4.2,92.5,4.2
187,EARL GREY SENIOR PUBLIC SCHOOL ,453.0,92.9,2.4,95.8,2.4
188,EARL HAIG PUBLIC SCHOOL ,295.0,93.6,3.1,95.3,3.1
189,EARL HAIG SECONDARY SCHOOL ,1873.0,89.2,1.2,95.4,1.2
190,EAST ALTERNATIVE SCHOOL OF TORONTO ,62.0,93.5,3.2,96.8,3.2
191,EAST YORK ALTERNATIVE SECONDARY SCHOOL ,114.0,81.6,0.0,97.4,0.0
192,EAST YORK COLLEGIATE INSTITUTE ,1040.0,88.6,2.5,94.5,2.4
193,EASTDALE COLLEGIATE INSTITUTE ,116.0,81.9,0.9,93.1,0.9
194,EASTVIEW PUBLIC SCHOOL ,201.0,77.1,0.0,83.1,0.0
195,EATONVILLE JUNIOR SCHOOL ,100.0,97.0,0.0,98.0,0.0
196,ÉCOLE ÉLÉMENTAIRE ÉTIENNE-BRÛLÉ ,148.0,85.1,1.4,87.2,1.4
197,ÉCOLE ÉLÉMENTAIRE FÉLIX-LECLERC ,104.0,86.5,5.8,87.5,5.8
198,ÉCOLE ÉLÉMENTAIRE GABRIELLE-ROY ,135.0,91.1,3.7,90.4,3.7
199,ÉCOLE ÉLÉMENTAIRE JEANNE-LAJOIE ,201.0,90.5,1.0,93.0,1.0
200,ÉCOLE ÉLÉMENTAIRE LA MOSAÏQUE ,212.0,90.6,6.1,92.0,5.7
201,ÉCOLE ÉLÉMENTAIRE LAURE-RIÈSE ,124.0,89.5,2.4,87.9,2.4
202,ÉCOLE ÉLÉMENTAIRE MATHIEU-DA-COSTAI ,82.0,85.4,0.0,91.5,0.0
203,ÉCOLE ÉLÉMENTAIRE MICHELINE-SAINT-CYR ,42.0,88.1,0.0,76.2,0.0
204,ECOLE ÉLÉMENTAIRE PAUL-DEMERS ,46.0,63.0,0.0,71.7,0.0
205,ÉCOLE ÉLÉMENTAIRE PIERRE-ELLIOTT-TRUDEAU ,168.0,94.6,3.0,93.5,3.0
206,ÉCOLE ÉLÉMENTAIRE TORONTO OUEST ,164.0,83.5,3.0,87.8,3.0
207,ÉCOLE SECONDAIRE ÉTIENNE-BRÛLÉ ,280.0,87.1,2.9,93.9,2.9
208,ÉCOLE SECONDAIRE TORONTO OUEST ,169.0,87.0,3.0,92.9,3.0
209,EDGEWOOD PUBLIC SCHOOL ,102.0,96.1,0.0,96.1,0.0
210,ÉÉC DU SACRÉ-COEUR-TORONTO ,70.0,97.1,0.0,97.1,0.0
211,ÉÉC GEORGES-ÉTIENNE-CARTIER ,223.0,97.8,0.9,98.7,0.9
212,ÉÉC NOTRE-DAME-DE-GRÂCE - TORONTO ,110.0,92.7,2.7,93.6,2.7
213,ÉÉC SAINTE-MADELEINE ,148.0,95.3,0.7,95.3,0.7
214,ÉÉC SAINTE-MARGUERITE-D'YOUVILLE ,222.0,95.5,3.2,93.7,3.2
215,ÉÉC SAINT-JEAN-DE-LALANDE ,74.0,95.9,1.4,93.2,1.4
216,ÉÉC SAINT-MICHEL-TORONTO ,78.0,92.3,2.6,94.9,2.6
217,ÉÉC SAINT-NOËL-CHABANEL-TORONTO ,83.0,94.0,0.0,95.2,0.0
218,EGLINTON JUNIOR PUBLIC SCHOOL ,207.0,88.9,1.0,87.0,1.0
219,ÉIC MONSEIGNEUR-DE-CHARBONNEL ,127.0,89.8,1.6,92.1,1.6
220,ÉIC PÈRE-PHILIPPE-LAMARCHE ,112.0,92.0,0.0,94.6,0.0
221,ÉIC SAINT-FRÈRE-ANDRÉ ,110.0,88.2,4.5,93.6,4.5
222,ELIA MIDDLE SCHOOL ,297.0,89.9,0.3,93.3,0.3
223,ELIZABETH SIMCOE JUNIOR PUBLIC SCHOOL ,175.0,90.9,5.7,93.7,5.7
224,ELKHORN PUBLIC SCHOOL ,180.0,89.4,3.3,92.8,3.3
225,ELLESMERE-STATTON PUBLIC SCHOOL ,422.0,95.7,0.7,95.5,0.7
226,ELMBANK JUNIOR MIDDLE ACADEMY ,237.0,83.1,2.1,84.0,2.1
227,ELMLEA JUNIOR SCHOOL ,176.0,87.5,2.8,86.9,2.8
228,EMERY COLLEGIATE INSTITUTE ,554.0,84.5,1.1,90.4,1.1
229,EMILY CARR PUBLIC SCHOOL ,210.0,95.7,1.4,95.2,1.4
230,EPIPHANY OF OUR LORD CATHOLIC ACADEMY ,115.0,87.0,0.0,89.6,0.0
231,EQUINOX HOLISTIC ALTERNATIVE SCHOOL ,112.0,77.7,22.3,77.7,22.3
232,ERNEST PUBLIC SCHOOL ,55.0,98.2,1.8,96.4,1.8
233,ÉSC MONSEIGNEUR-DE-CHARBONNEL ,199.0,83.4,2.5,92.5,2.5
234,ÉSC PÈRE-PHILIPPE-LAMARCHE ,77.0,90.9,0.0,96.1,0.0
235,ÉSC SAINT-FRÈRE-ANDRÉ ,185.0,83.8,2.7,92.4,2.7
236,ESSEX JUNIOR AND SENIOR PUBLIC SCHOOL ,176.0,88.1,4.0,90.9,4.0
237,ÉTIENNE BRÛLÉ JUNIOR SCHOOL ,76.0,97.4,2.6,96.1,2.6
238,ETOBICOKE COLLEGIATE INSTITUTE ,1004.0,88.4,2.0,95.7,2.0
239,ETOBICOKE SCHOOL OF THE ARTS ,939.0,82.5,4.8,93.1,4.8
240,ETOBICOKE YEAR ROUND ALTERNATIVE CENTRE ,36.0,83.3,2.8,97.2,2.8
241,F H MILLER JUNIOR PUBLIC SCHOOL ,61.0,93.4,1.6,93.4,1.6
242,FAIRBANK JUNIOR AND MIDDLE SCHOOL ,217.0,92.2,2.8,93.1,2.8
243,FAIRBANK MEMORIAL COMMUNITY SCHOOL ,53.0,94.3,0.0,96.2,0.0
244,FAIRGLEN JUNIOR PUBLIC SCHOOL ,215.0,98.1,0.0,98.6,0.0
245,FAIRMOUNT PUBLIC SCHOOL ,281.0,88.3,1.1,92.2,1.1
246,FATHER HENRY CARR CATHOLIC SECONDARY SCHOOL ,917.0,86.8,0.8,93.5,0.8
247,FATHER JOHN REDMOND CATHOLIC SECONDARY SCHOOL ,1229.0,84.5,3.3,93.1,3.3
248,FATHER SERRA CATHOLIC SCHOOL ,332.0,93.7,3.0,95.5,3.0
249,FAYWOOD ARTS-BASED CURRICULUM SCHOOL ,274.0,90.5,4.4,89.4,4.4
250,FENSIDE PUBLIC SCHOOL ,94.0,91.5,1.1,92.6,1.1
251,FERN AVENUE JUNIOR AND SENIOR PUBLIC SCHOOL ,485.0,94.8,2.9,96.7,2.9
252,FINCH PUBLIC SCHOOL ,105.0,91.4,3.8,92.4,3.8
253,FIRGROVE PUBLIC SCHOOL ,151.0,89.4,0.0,91.4,0.0
254,FIRST NATIONS SCHOOL OF TORONTO ,130.0,69.2,9.2,74.6,10.0
255,FISHERVILLE SENIOR PUBLIC SCHOOL ,160.0,95.6,0.6,91.3,0.6
256,FLEMING PUBLIC SCHOOL ,174.0,95.4,0.0,98.3,0.0
257,FLEMINGTON PUBLIC SCHOOL ,101.0,91.1,0.0,89.1,0.0
258,FOREST HILL COLLEGIATE INSTITUTE ,954.0,89.1,1.7,95.0,1.7
259,FOREST HILL JUNIOR AND SENIOR PUBLIC SCHOOL ,650.0,88.6,1.7,90.2,1.7
260,FOREST MANOR PUBLIC SCHOOL ,302.0,86.4,0.3,87.7,0.3
261,FRANCIS LIBERMANN CATHOLIC HIGH SCHOOL ,906.0,89.0,0.8,94.9,0.8
262,FRANK OKE SECONDARY SCHOOL ,79.0,84.8,2.5,97.5,2.5
263,FRANKLAND COMMUNITY SCHOOL ,187.0,89.3,4.3,91.4,4.3
264,GALLOWAY ROAD PUBLIC SCHOOL ,134.0,89.6,1.5,94.0,1.5
265,GARDEN AVENUE JUNIOR PUBLIC SCHOOL ,130.0,94.6,1.5,95.4,1.5
266,GATEWAY PUBLIC SCHOOL ,411.0,83.2,1.2,86.9,1.2
267,GENERAL BROCK PUBLIC SCHOOL ,243.0,90.5,1.2,88.9,1.2
268,GENERAL CRERAR PUBLIC SCHOOL ,248.0,88.3,2.4,91.5,2.4
269,GENERAL MERCER JUNIOR PUBLIC SCHOOL ,108.0,89.8,3.7,89.8,3.7
270,GEORGE ANDERSON PUBLIC SCHOOL ,66.0,98.5,0.0,97.0,0.0
271,GEORGE B LITTLE PUBLIC SCHOOL ,260.0,90.0,0.0,93.5,0.0
272,GEORGE HARVEY COLLEGIATE INSTITUTE ,488.0,78.9,0.6,83.6,0.6
273,GEORGE P MACKIE JUNIOR PUBLIC SCHOOL ,68.0,92.6,5.9,92.6,5.9
274,GEORGE PECK PUBLIC SCHOOL ,162.0,95.7,1.2,96.3,0.6
275,GEORGE R GAULD JUNIOR SCHOOL ,52.0,92.3,0.0,96.2,0.0
276,GEORGE S HENRY ACADEMY ,373.0,84.2,1.1,90.1,1.1
277,GEORGE SYME COMMUNITY SCHOOL ,162.0,85.2,2.5,88.9,2.5
278,GEORGE WEBSTER ELEMENTARY SCHOOL ,500.0,90.8,0.8,90.2,0.8
279,GEORGES VANIER SECONDARY SCHOOL ,850.0,77.1,0.4,81.8,0.4
280,GIVINS/SHAW JUNIOR PUBLIC SCHOOL ,155.0,88.4,3.9,89.0,3.9
281,GLAMORGAN JUNIOR PUBLIC SCHOOL ,257.0,91.4,0.0,96.5,0.0
282,GLEDHILL JUNIOR PUBLIC SCHOOL ,186.0,90.3,3.8,93.0,3.8
283,GLEN AMES SENIOR PUBLIC SCHOOL ,416.0,95.2,1.7,97.4,1.7
284,GLEN PARK PUBLIC SCHOOL ,254.0,90.9,3.1,94.1,3.1
285,GLEN RAVINE JUNIOR PUBLIC SCHOOL ,151.0,96.7,0.7,96.7,0.7
286,GLENVIEW SENIOR PUBLIC SCHOOL ,770.0,94.7,1.0,95.6,1.0
287,GOLF ROAD JUNIOR PUBLIC SCHOOL ,151.0,94.0,0.0,96.7,0.0
288,GORDON A BROWN MIDDLE SCHOOL ,372.0,86.3,3.8,88.7,3.8
289,GOSFORD PUBLIC SCHOOL ,111.0,90.1,0.0,94.6,0.0
290,GRACEDALE PUBLIC SCHOOL ,278.0,92.1,1.1,93.5,1.1
291,GRACEFIELD PUBLIC SCHOOL ,102.0,92.2,0.0,94.1,0.0
292,GREENHOLME JUNIOR MIDDLE SCHOOL ,213.0,89.2,0.0,91.1,0.0
293,GREENLAND PUBLIC SCHOOL ,53.0,94.3,3.8,94.3,3.8
294,GREENWOOD SECONDARY SCHOOL ,147.0,62.6,0.0,61.2,0.0
295,GRENOBLE PUBLIC SCHOOL ,509.0,85.7,0.6,87.8,0.6
296,GREY OWL JUNIOR PUBLIC SCHOOL ,115.0,89.6,2.6,91.3,2.6
297,GUILDWOOD JUNIOR PUBLIC SCHOOL ,58.0,89.7,8.6,89.7,8.6
298,GULFSTREAM PUBLIC SCHOOL ,371.0,90.3,1.3,93.3,1.3
299,H A HALBERT JUNIOR PUBLIC SCHOOL ,114.0,92.1,0.9,94.7,0.9
300,H J ALEXANDER COMMUNITY SCHOOL ,236.0,87.7,1.3,91.1,1.3
301,HARBORD COLLEGIATE INSTITUTE ,1016.0,87.6,3.1,95.9,3.1
302,HARRISON PUBLIC SCHOOL ,75.0,98.7,1.3,96.0,1.3
303,HARWOOD PUBLIC SCHOOL ,117.0,94.9,0.9,96.6,0.9
304,HAVERGAL JUNIOR SCHOOL,288.0,80.9,0.3,92.0,0.3
305,HAWTHORNE II BILINGUAL ALTERNATIVE JUNIOR SCHOOL ,94.0,95.7,4.3,94.7,4.3
306,HEATHER HEIGHTS JUNIOR PUBLIC SCHOOL ,89.0,98.9,0.0,97.8,0.0
307,HENRY HUDSON SENIOR PUBLIC SCHOOL ,287.0,96.2,0.7,96.2,0.7
308,HENRY KELSEY SENIOR PUBLIC SCHOOL ,298.0,96.6,0.3,96.6,0.3
309,HERITAGE PARK PUBLIC SCHOOL ,190.0,93.7,0.5,93.7,0.5
310,HEYDON PARK SECONDARY SCHOOL ,116.0,83.6,1.7,97.4,1.7
311,HIGH PARK ALTERNATIVE SCHOOL JUNIOR ,76.0,84.2,15.8,84.2,15.8
312,HIGHCASTLE PUBLIC SCHOOL ,198.0,89.4,0.5,92.4,0.5
313,HIGHFIELD JUNIOR SCHOOL ,290.0,95.9,0.3,96.6,0.3
314,HIGHLAND CREEK PUBLIC SCHOOL ,127.0,98.4,0.8,98.4,0.8
315,HIGHLAND HEIGHTS JUNIOR PUBLIC SCHOOL ,94.0,96.8,1.1,95.7,1.1
316,HIGHLAND JUNIOR HIGH SCHOOL ,486.0,94.4,1.0,95.9,1.0
317,HIGHVIEW PUBLIC SCHOOL ,70.0,94.3,0.0,97.1,0.0
318,HILLCREST COMMUNITY SCHOOL ,185.0,88.1,3.2,89.7,3.2
319,HILLMOUNT PUBLIC SCHOOL ,89.0,96.6,0.0,97.8,0.0
320,HILLTOP MIDDLE SCHOOL ,561.0,91.4,2.9,93.6,2.9
321,HODGSON SENIOR PUBLIC SCHOOL ,533.0,87.6,2.1,90.2,2.1
322,HOLLYCREST MIDDLE SCHOOL ,475.0,88.6,2.7,92.8,2.7
323,HOLLYWOOD PUBLIC SCHOOL ,180.0,92.8,1.1,91.7,1.1
324,HOLY ANGELS CATHOLIC SCHOOL ,302.0,93.4,2.3,94.0,2.3
325,HOLY CHILD CATHOLIC SCHOOL ,206.0,92.2,0.0,92.2,0.0
326,HOLY CROSS CATHOLIC SCHOOL ,202.0,93.6,1.0,91.6,1.0
327,HOLY FAMILY CATHOLIC SCHOOL ,138.0,88.4,1.4,92.0,1.4
328,HOLY NAME CATHOLIC SCHOOL ,203.0,96.1,1.5,97.0,1.5
329,HOLY ROSARY CATHOLIC SCHOOL ,152.0,93.4,1.3,91.4,1.3
330,HOLY SPIRIT CATHOLIC SCHOOL ,264.0,91.7,0.0,90.5,0.0
331,HORIZON ALTERNATIVE SENIOR SCHOOL ,67.0,91.0,7.5,91.0,7.5
332,HOWARD JUNIOR PUBLIC SCHOOL ,267.0,87.6,4.9,88.4,4.9
333,HUMBER SUMMIT MIDDLE SCHOOL ,458.0,82.3,0.9,87.1,0.9
334,HUMBER VALLEY VILLAGE JUNIOR MIDDLE SCHOOL ,252.0,88.1,6.0,88.9,6.0
335,HUMBERCREST PUBLIC SCHOOL ,430.0,95.3,2.8,96.0,2.8
336,HUMBERSIDE COLLEGIATE INSTITUTE ,1212.0,88.0,2.7,96.2,2.7
337,HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY ,469.0,97.0,0.4,97.2,0.4
338,HUMEWOOD COMMUNITY SCHOOL ,331.0,89.7,4.2,91.8,4.2
339,HUNTER'S GLEN JUNIOR PUBLIC SCHOOL ,256.0,93.4,0.8,95.7,0.8
340,HURON STREET JUNIOR PUBLIC SCHOOL ,163.0,89.6,4.9,93.3,4.9
341,IMMACULATE CONCEPTION CATHOLIC SCHOOL ,298.0,96.0,0.0,96.3,0.0
342,IMMACULATE HEART OF MARY CATHOLIC SCHOOL ,105.0,96.2,0.0,95.2,0.0
343,INDIAN ROAD CRESCENT JUNIOR PUBLIC SCHOOL ,174.0,89.1,5.2,90.8,5.2
344,INGLENOOK COMMUNITY SCHOOL ,72.0,77.8,6.9,90.3,8.3
345,INGLEWOOD HEIGHTS JUNIOR PUBLIC SCHOOL ,109.0,95.4,0.9,96.3,0.9
346,IONVIEW PUBLIC SCHOOL ,219.0,87.2,0.0,91.3,0.0
347,IROQUOIS JUNIOR PUBLIC SCHOOL ,217.0,97.2,0.0,99.1,0.0
348,ISLAND PUBLIC/NATURAL SCIENCE SCHOOL ,112.0,94.6,3.6,94.6,3.6
349,ISLINGTON JUNIOR MIDDLE SCHOOL ,278.0,83.5,1.4,89.9,1.4
350,J B TYRRELL SENIOR PUBLIC SCHOOL ,416.0,97.4,1.0,97.8,1.2
351,J G WORKMAN PUBLIC SCHOOL ,126.0,98.4,0.0,98.4,0.0
352,J R WILCOX COMMUNITY SCHOOL ,152.0,94.7,2.6,93.4,2.6
353,JACK MINER SENIOR PUBLIC SCHOOL ,197.0,98.5,1.0,98.0,1.0
354,JACKMAN AVENUE JUNIOR PUBLIC SCHOOL ,315.0,88.6,4.8,90.5,5.1
355,JAMES CARDINAL MCGUIGAN CATHOLIC HIGH SCHOOL ,851.0,83.2,0.4,89.0,0.4
356,JAMES CULNAN CATHOLIC SCHOOL ,275.0,96.4,0.4,97.5,0.4
357,JAMES S BELL JUNIOR MIDDLE SCHOOL ,283.0,92.9,4.6,91.2,4.6
358,JARVIS COLLEGIATE INSTITUTE ,660.0,88.0,0.9,93.9,0.8
359,JEAN VANIER CATHOLIC SECONDARY SCHOOL ,860.0,88.7,0.5,92.4,0.3
360,JESSE KETCHUM JUNIOR AND SENIOR PUBLIC SCHOOL ,304.0,79.9,3.3,83.9,3.3
361,JOHN A LESLIE PUBLIC SCHOOL ,335.0,93.1,0.0,95.8,0.0
362,JOHN BUCHAN SENIOR PUBLIC SCHOOL ,185.0,93.0,0.0,91.4,0.0
363,JOHN D PARKER JUNIOR SCHOOL ,193.0,91.2,0.5,92.2,0.5
364,JOHN ENGLISH JUNIOR MIDDLE SCHOOL ,626.0,94.2,4.0,94.7,4.0
365,JOHN FISHER JUNIOR PUBLIC SCHOOL ,220.0,93.2,4.1,94.1,4.1
366,JOHN G ALTHOUSE MIDDLE SCHOOL ,482.0,90.2,2.7,91.9,2.7
367,JOHN G DIEFENBAKER PUBLIC SCHOOL ,145.0,93.8,3.4,95.2,3.4
368,JOHN MCCRAE PUBLIC SCHOOL ,352.0,93.5,1.4,96.0,1.4
369,JOHN POLANYI COLLEGIATE INSTITUTE ,871.0,78.3,1.5,84.4,1.4
370,JOHN ROSS ROBERTSON JUNIOR PUBLIC SCHOOL ,308.0,90.3,2.6,93.2,2.6
371,JOHN WANLESS JUNIOR PUBLIC SCHOOL ,346.0,94.5,0.9,96.2,0.9
372,JOSEPH BRANT SENIOR PUBLIC SCHOOL ,397.0,88.4,1.0,92.2,1.0
373,JOSEPH HOWE SENIOR PUBLIC SCHOOL ,393.0,96.2,1.5,96.2,1.5
374,JOSYF CARDINAL SLIPYJ CATHOLIC SCHOOL ,357.0,86.6,8.4,86.8,8.4
375,JOYCE PUBLIC SCHOOL ,121.0,93.4,0.0,95.0,0.0
376,KAREN KAIN SCHOOL OF THE ARTS ,172.0,89.0,8.1,90.7,8.1
377,KEELE STREET JUNIOR PUBLIC SCHOOL ,295.0,84.7,4.7,87.5,4.7
378,KEELESDALE JUNIOR PUBLIC SCHOOL ,62.0,93.5,0.0,96.8,0.0
379,KENNEDY PUBLIC SCHOOL ,352.0,97.2,0.0,97.2,0.0
380,KENSINGTON COMMUNITY SCHOOL ,82.0,95.1,3.7,93.9,3.7
381,KEW BEACH JUNIOR PUBLIC SCHOOL ,238.0,92.4,2.9,94.1,2.9
382,KIMBERLEY JUNIOR PUBLIC SCHOOL ,141.0,98.6,0.0,99.3,0.0
383,KING EDWARD JUNIOR AND SENIOR PUBLIC SCHOOL ,474.0,92.0,2.7,92.0,2.7
384,KING GEORGE JUNIOR PUBLIC SCHOOL ,93.0,94.6,3.2,96.8,3.2
385,KINGSLAKE PUBLIC SCHOOL ,103.0,92.2,2.9,93.2,2.9
386,KINGSVIEW VILLAGE JUNIOR SCHOOL ,198.0,81.8,1.0,85.9,1.0
387,KIPLING COLLEGIATE INSTITUTE ,449.0,80.6,0.2,89.1,0.2
